t_no,t_name,t_nm_name,t_m_name,t_mwm,t_ml_number,t_ms_number,t_hml_number,t_hms_number ,t_cml_number,t_cms_number,t_wml_number,t_hwml_number,t_hwms_number,t_manage,t_tel,t_close,t_la,t_lo,t_data,t_mcode,t_service,t_com_score,t_user_count
410,역촌119안전센터,서울특별시 은평구 갈현로 80,,N,2,3,0,0,0,0,2,0,0,은평소방서,02-352-2119,연중무휴,37.60496,126.910653,2020-01-01,3110000,서울특별시 은평구,0,0
411,역촌1치안센터,서울특별시 은평구 연서로6길 19,서울특별시 은평구 역촌동 23-34,N,2,2,0,0,0,0,2,0,0,역촌1치안센터,02-385-0552,연중무휴,37.604405,126.917909,2020-01-01,3110000,서울특별시 은평구,0,0
412,역촌동주민센터,서울특별시 은평구 연서로 59,서울특별시 은평구 역촌동 62-26,N,6,9,0,0,0,0,6,0,0,서울특별시 은평구청,02-351-5306,(평일)09:00~18:00,37.60440124,126.9151006,2020-01-01,3110000,서울특별시 은평구,0,0
413,역촌지구대,서울특별시 은평구 연서로 59,서울특별시 은평구 역촌동 62-26,N,2,1,0,0,0,0,2,0,0,역촌지구대,02-358-1239,연중무휴,37.60440124,126.9151006,2020-01-01,3110000,서울특별시 은평구,0,0
414,역촌초등학교,서울특별시 은평구 은평로3길 25,서울특별시 은평구 역촌동 82-1번지,N,37,64,9,0,0,0,56,4,0,역촌초등학교,02-352-2245,(평일)09:00~18:00,37.6015857,126.9139261,2020-01-01,3110000,서울특별시 은평구,0,0
415,연광초등학교,서울특별시 은평구 연서로 35길 37,,N,16,49,2,0,0,0,42,1,0,서울연광초등학교,02-353-4800,(평일)09:00~18:00,37.62364876,126.9239098,2020-01-01,3110000,서울특별시 은평구,0,0
416,연서어린이공원,서울특별시 은평구 연서로6길 8-1,서울특별시 은평구 역촌동 32-36,N,2,3,1,0,0,0,1,1,1,서울특별시 은평구청,02-351-7565,연중무휴,37.60413927,126.9166637,2020-01-01,3110000,서울특별시 은평구,0,0
417,연서중학교,서울특별시 은평구 증산서길 125-6,서울특별시 은평구 증산동 193-21,N,30,51,0,0,0,0,57,0,0,연서중학교,02-6715-8000,(평일)09:00~18:00,37.58701859,126.9092782,2020-01-01,3110000,서울특별시 은평구,0,0
418,연신중학교,서울특별시 은평구 연서로33길 16-32,,N,23,41,2,0,0,0,51,1,0,연신중학교,02-383-7831,(평일)09:00~18:00,37.623543,126.924286,2020-01-01,3110000,서울특별시 은평구,0,0
419,연신초등학교,서울특별시 은평구 연서로 347,서울특별시 은평구 불광동 73-1,N,15,28,1,0,0,0,35,1,0,연신초등학교,02-387-0373,(평일)09:00~18:00,37.62605861,126.9277498,2020-01-01,3110000,서울특별시 은평구,0,0
420,새락골어린이공원,서울특별시 은평구 은평로3가길 34,서울특별시 은평구 신사1동 5-21,N,1,2,1,0,0,0,1,1,0,서울특별시 은평구시설관리공단,02-350-5114,(평일)09:00~18:00,37.598964,126.9113246,2020-01-01,3110000,서울특별시 은평구,0,0
421,새록어린이공원,서울특별시 은평구 은평로13길 35,서울특별시 은평구 녹번동 158-1,N,1,3,1,0,0,0,4,1,1,서울특별시 은평구청,02-351-7565,연중무휴,37.603962,126.923871,2020-01-01,3110000,서울특별시 은평구,0,0
422,새장골어린이공원,서울특별시 은평구 연서로37가길 10-12,서울특별시 은평구 불광동 444-1,N,1,2,1,0,0,0,1,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.62513143,126.926192,2020-01-01,3110000,서울특별시 은평구,0,0
423,생활체육광장,서울특별시 은평구 증산로5길 35-27,서울특별시 은평구 증산동 산18-6,N,2,3,1,0,0,0,3,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.584328,126.903028,2020-01-01,3110000,서울특별시 은평구,0,0
424,서갈현어린이공원,서울특별시 은평구 갈현로35길 12-8,서울특별시 은평구 갈현동 434-38,N,2,3,1,0,0,0,4,1,1,서울특별시 은평구청,02-351-7565,연중무휴,37.62137632,126.915736,2020-01-01,3110000,서울특별시 은평구,0,0
425,은평세무서,서울특별시 은평구 서오릉로 7,서울특별시 은평구 응암동 84-5,N,7,8,0,0,0,0,4,0,0,서대문세무서,02-2287-4200,연중무휴,37.60182116,126.926328,2020-01-01,3110000,서울특별시 은평구,0,0
426,서부경찰서,서울특별시 은평구 통일로 757,서울특별시 은평구 대조도 2-9,N,9,4,2,0,0,0,5,1,0,서부경찰서,02-384-0112,연중무휴,37.61273116,126.9276766,2020-01-01,3110000,서울특별시 은평구,0,0
427,서부장애인종합복지관,서울특별시 은평구 갈현로11길 30,서울특별시 은평구 구산동 191-1,N,5,13,3,0,0,0,6,3,0,서부장애인종합복지관,02-351-3982,(평일)09:00~18:00,37.60564519,126.9063428,2020-01-01,3110000,서울특별시 은평구,0,0
428,서신초등학교,서울특별시 은평구 은평터널로 150,서울특별시 은평구 신사동 194,N,26,30,2,0,4,0,36,0,2,서신초등학교,02-3152-0705,(평일)09:00~18:00,37.59229333,126.9073831,2020-01-01,3110000,서울특별시 은평구,0,0
429,서울갈현동우체국,서울특별시 은평구 서오릉로 190,서울특별시 은평구 갈현동 489-5,N,1,1,0,0,0,0,2,0,0,서울갈현동우체국,02-359-2005,(평일)09:00~18:00,37.613655,126.912531,2020-01-01,3110000,서울특별시 은평구,0,0
430,서울불광우체국,서울특별시 은평구 통일로71길 20,서울특별시 은평구 대조동 84-113,N,1,1,0,0,0,0,2,0,0,서울불광우체국,02-382-2205,(평일)09:00~18:00,37.612811,126.9266798,2020-01-01,3110000,서울특별시 은평구,0,0
431,서울수색동우체국,서울특별시 은평구 수색로 248,서울특별시 은평구 수색동 101-7,N,1,1,0,0,0,0,2,0,0,서울수색동우체국,02-302-0205,(평일)09:00~18:00,37.5817,126.896557,2020-01-01,3110000,서울특별시 은평구,0,0
432,서울연신내우체국,서울특별시 은평구 연서로 304,서울특별시 은평구 불광동 123-11,N,1,1,0,0,0,0,2,0,0,서울연신내우체국,02-357-0205,(평일)09:00~18:00,37.622404,126.9273,2020-01-01,3110000,서울특별시 은평구,0,0
433,서울연은초등학교,서울특별시 은평구 가좌로 208,서울특별시 은평구 응암3동 334-12,N,31,41,0,0,0,0,56,0,0,서울연은초등학교,02-372-6999,(평일)09:00~18:00,37.58917385,126.9193208,2020-01-01,3110000,서울특별시 은평구,0,0
434,서울응암우체국,서울특별시 은평구 응암로 214,서울특별시 은평구 응암동 576-37,N,1,1,0,0,0,0,2,0,0,서울응암우체국,02-385-0100,(평일)09:00~18:00,37.590951,126.9178379,2020-01-01,3110000,서울특별시 은평구,0,0
435,서울응암초등학교,서울특별시 은평구 가좌로6길 20,서울특별시 은평구 응암3동 산7-40,N,38,72,0,0,0,0,122,0,0,서울응암초등학교,02-309-5555,(평일)09:00~18:00,37.58875373,126.9216175,2020-01-01,3110000,서울특별시 은평구,0,0
436,선일여자고등학교,서울특별시 은평구 갈현로29길 27,서울특별시 은평구 갈현동 240-1,N,8,7,0,0,0,0,84,16,0,선일여자고등학교,02-355-9994,(평일)09:00~18:00,37.61971637,126.9127997,2020-01-01,3110000,서울특별시 은평구,0,0
